,Rank,Participant,Result,Event,Year
1117,7.,Takuro FUJII  JPN,51.50,100m-butterfly-men,2008
1118,8.,Albert SUBIRATS ALTES  VEN,51.71,100m-butterfly-men,2008
1119,9.,Corney SWANEPOEL  NZL,51.78,100m-butterfly-men,2008
1120,10.,Sergii BREUS  UKR,51.82,100m-butterfly-men,2008
1121,11.,Frederick BOUSQUET  FRA,51.83,100m-butterfly-men,2008
1122,12.,Feng SHI  CHN,51.87,100m-butterfly-men,2008
1123,13.,Ian CROCKER  USA,51.95,100m-butterfly-men,2008
1124,14.,Ryan PINI  PNG,52.00,100m-butterfly-men,2008
1125,15.,Lyndon FERNS  RSA,52.04,100m-butterfly-men,2008
1126,16.,Kaio ALMEIDA  BRA,52.05,100m-butterfly-men,2008
1127,17.,Adam PINE  AUS,52.07,100m-butterfly-men,2008
1128,18.,Lars FRÖLANDER  SWE,52.15,100m-butterfly-men,2008
1129,19.,Jakob Schioett ANDKJAER  DEN,52.24,100m-butterfly-men,2008
1130,20.,Robin VAN AGGELE  NED,52.26,100m-butterfly-men,2008
1133,20.,Mario TODOROVIC  CRO,52.26,100m-butterfly-men,2008
1134,20.,Nikolay SKVORTSOV  RUS,52.26,100m-butterfly-men,2008
1135,23.,Gabriel MANGABEIRA  BRA,52.28,100m-butterfly-men,2008
1136,24.,Evgeny KOROTYSHKIN  RUS,52.30,100m-butterfly-men,2008
1137,25.,Sotirios PASTRAS  GRE,52.41,100m-butterfly-men,2008
1138,26.,Masayuki KISHIDA  JPN,52.45,100m-butterfly-men,2008
1139,27.,Michael ROCK  GBR,52.48,100m-butterfly-men,2008
1140,28.,Ioan GHERGHEL  ROU,52.50,100m-butterfly-men,2008
1141,29.,Todd COOPER  GBR,52.52,100m-butterfly-men,2008
1142,30.,Rafael MUNOZ PEREZ  ESP,52.53,100m-butterfly-men,2008
1143,31.,Christophe LEBON  FRA,52.56,100m-butterfly-men,2008
1144,32.,Moss BURMESTER  NZL,52.67,100m-butterfly-men,2008
1145,33.,Simao MORGADO  POR,52.80,100m-butterfly-men,2008
1146,34.,Joe BARTOCH  CAN,52.90,100m-butterfly-men,2008
1147,34.,Rimvydas SALCIUS  LTU,52.90,100m-butterfly-men,2008
1148,36.,Alon MANDEL  ISR,52.99,100m-butterfly-men,2008
1149,37.,Francois HEERSBRANDT  BEL,53.33,100m-butterfly-men,2008
1150,38.,Douglas LENNOX-SILVA  PUR,53.34,100m-butterfly-men,2008
1151,39.,Adam SIOUI  CAN,53.38,100m-butterfly-men,2008
1152,40.,Ivan LENDJER  SRB,53.41,100m-butterfly-men,2008
1153,41.,Benjamin STARKE  GER,53.50,100m-butterfly-men,2008
1154,42.,Michal RUBACEK  CZE,53.53,100m-butterfly-men,2008
1155,43.,Evgeny LAZUKA  BLR,53.54,100m-butterfly-men,2008
1156,44.,Thomas RUPPRATH  GER,53.56,100m-butterfly-men,2008
1157,45.,Octavio Andres ALESI GONZALEZ  VEN,53.58,100m-butterfly-men,2008
1158,45.,Juan Jose VELOZ  MEX,53.58,100m-butterfly-men,2008
1159,47.,Alexei PUNINSKI  CRO,53.65,100m-butterfly-men,2008
1160,48.,Ryan GAMBIN  MLT,53.70,100m-butterfly-men,2008
1161,49.,Jeremy KNOWLES  BAH,53.72,100m-butterfly-men,2008
1162,50.,Adam MADARASSY  HUN,53.93,100m-butterfly-men,2008
1163,51.,Shaune FRASER  CAY,54.08,100m-butterfly-men,2008
1164,52.,Hjortur Mar REYNISSON  ISL,54.17,100m-butterfly-men,2008
1165,53.,Camilo BECERRA  COL,54.27,100m-butterfly-men,2008
1166,54.,Daniel BEGO  MAS,54.38,100m-butterfly-men,2008
1167,55.,Gordon TOUW NGIE TJOUW  SUR,54.54,100m-butterfly-men,2008
1168,56.,Rustam KHUDIYEV  KAZ,54.62,100m-butterfly-men,2008
1169,57.,Ankur POSERIA  IND,54.74,100m-butterfly-men,2008
1170,58.,Onur URAS  TUR,54.79,100m-butterfly-men,2008
1171,59.,Andrejs DUDA  LAT,55.20,100m-butterfly-men,2008
1172,60.,Georgi PALAZOV  BUL,55.25,100m-butterfly-men,2008
1173,61.,Ahmed NADA  EGY,55.59,100m-butterfly-men,2008
1174,61.,Bader Abdulrahman ALMUHANA  KSA,55.59,100m-butterfly-men,2008
1175,63.,Joao Luis Cardoso MATIAS  ANG,57.06,100m-butterfly-men,2008
1176,64.,Nedim NISIC  BIH,57.16,100m-butterfly-men,2008
1177,65.,Marco CAMARGO  ECU,57.48,100m-butterfly-men,2008
1178,20.0,Mario TODOROVIC  CRO,52.26,100m-butterfly-men,2008
1179,20.0,Nikolay SKVORTSOV  RUS,52.26,100m-butterfly-men,2008
1180,23.0,Gabriel MANGABEIRA  BRA,52.28,100m-butterfly-men,2008
1181,24.0,Evgeny KOROTYSHKIN  RUS,52.3,100m-butterfly-men,2008
1182,25.0,Sotirios PASTRAS  GRE,52.41,100m-butterfly-men,2008
1183,26.0,Masayuki KISHIDA  JPN,52.45,100m-butterfly-men,2008
1184,27.0,Michael ROCK  GBR,52.48,100m-butterfly-men,2008
1185,28.0,Ioan GHERGHEL  ROU,52.5,100m-butterfly-men,2008
1186,29.0,Todd COOPER  GBR,52.52,100m-butterfly-men,2008
1187,30.0,Rafael MUNOZ PEREZ  ESP,52.53,100m-butterfly-men,2008
1188,31.0,Christophe LEBON  FRA,52.56,100m-butterfly-men,2008
1189,32.0,Moss BURMESTER  NZL,52.67,100m-butterfly-men,2008
1190,33.0,Simao MORGADO  POR,52.8,100m-butterfly-men,2008
1191,34.0,Joe BARTOCH  CAN,52.9,100m-butterfly-men,2008
1192,34.0,Rimvydas SALCIUS  LTU,52.9,100m-butterfly-men,2008
1193,36.0,Alon MANDEL  ISR,52.99,100m-butterfly-men,2008
1194,37.0,Francois HEERSBRANDT  BEL,53.33,100m-butterfly-men,2008
1195,38.0,Douglas LENNOX-SILVA  PUR,53.34,100m-butterfly-men,2008
1196,39.0,Adam SIOUI  CAN,53.38,100m-butterfly-men,2008
1197,40.0,Ivan LENDJER  SRB,53.41,100m-butterfly-men,2008
1198,41.0,Benjamin STARKE  GER,53.5,100m-butterfly-men,2008
1199,42.0,Michal RUBACEK  CZE,53.53,100m-butterfly-men,2008
1200,43.0,Evgeny LAZUKA  BLR,53.54,100m-butterfly-men,2008
1201,44.0,Thomas RUPPRATH  GER,53.56,100m-butterfly-men,2008
1202,45.0,Octavio Andres ALESI GONZALEZ  VEN,53.58,100m-butterfly-men,2008
1203,45.0,Juan Jose VELOZ  MEX,53.58,100m-butterfly-men,2008
1204,47.0,Alexei PUNINSKI  CRO,53.65,100m-butterfly-men,2008
1205,48.0,Ryan GAMBIN  MLT,53.7,100m-butterfly-men,2008
1206,49.0,Jeremy KNOWLES  BAH,53.72,100m-butterfly-men,2008
1207,50.0,Adam MADARASSY  HUN,53.93,100m-butterfly-men,2008
1208,51.0,Shaune FRASER  CAY,54.08,100m-butterfly-men,2008
1209,52.0,Hjortur Mar REYNISSON  ISL,54.17,100m-butterfly-men,2008
1210,53.0,Camilo BECERRA  COL,54.27,100m-butterfly-men,2008
1211,54.0,Daniel BEGO  MAS,54.38,100m-butterfly-men,2008
1212,55.0,Gordon TOUW NGIE TJOUW  SUR,54.54,100m-butterfly-men,2008
1213,56.0,Rustam KHUDIYEV  KAZ,54.62,100m-butterfly-men,2008
1214,57.0,Ankur POSERIA  IND,54.74,100m-butterfly-men,2008
1215,58.0,Onur URAS  TUR,54.79,100m-butterfly-men,2008
1216,59.0,Andrejs DUDA  LAT,55.2,100m-butterfly-men,2008
1217,60.0,Georgi PALAZOV  BUL,55.25,100m-butterfly-men,2008
1218,61.0,Ahmed NADA  EGY,55.59,100m-butterfly-men,2008
1219,61.0,Bader Abdulrahman ALMUHANA  KSA,55.59,100m-butterfly-men,2008
1220,63.0,Joao Luis Cardoso MATIAS  ANG,57.06,100m-butterfly-men,2008
1221,64.0,Nedim NISIC  BIH,57.16,100m-butterfly-men,2008
1222,65.0,Marco CAMARGO  ECU,57.48,100m-butterfly-men,2008
1223,G,Michael PHELPS  USA,1.52.03,200m-butterfly-men,2008
1224,S,Laszlo CSEH  HUN,1.52.70,200m-butterfly-men,2008
1225,B,Takeshi MATSUDA  JPN,1.52.97,200m-butterfly-men,2008
1226,4.,Moss BURMESTER  NZL,1.54.35,200m-butterfly-men,2008
1227,4.,Peng WU  CHN,1.54.35,200m-butterfly-men,2008
1228,6.,Pawel KORZENIOWSKI  POL,1.54.60,200m-butterfly-men,2008
1229,7.,Kaio ALMEIDA  BRA,1.54.71,200m-butterfly-men,2008
1230,8.,Nikolay SKVORTSOV  RUS,1.55.14,200m-butterfly-men,2008
1231,1.0,Michael PHELPS  USA,1.53.70,200m-butterfly-men,2008
1232,2.0,Takeshi MATSUDA  JPN,1.54.02,200m-butterfly-men,2008
1233,3.0,Nikolay SKVORTSOV  RUS,1.54.31,200m-butterfly-men,2008
1234,4.0,Laszlo CSEH  HUN,1.54.35,200m-butterfly-men,2008
1235,5.0,Peng WU  CHN,1.54.93,200m-butterfly-men,2008
1236,6.0,Kaio ALMEIDA  BRA,1.55.21,200m-butterfly-men,2008
1237,7.0,Moss BURMESTER  NZL,1.55.26,200m-butterfly-men,2008
1238,8.0,Pawel KORZENIOWSKI  POL,1.55.35,200m-butterfly-men,2008
1239,9.0,Gil STOVALL  USA,1.55.36,200m-butterfly-men,2008
1240,10.0,Dinko JUKIC  AUT,1.55.65,200m-butterfly-men,2008
1241,11.0,Yin CHEN  CHN,1.55.88,200m-butterfly-men,2008
1242,12.0,Michael ROCK  GBR,1.55.90,200m-butterfly-men,2008
1243,13.0,Ryuichi SHIBATA  JPN,1.56.17,200m-butterfly-men,2008
1244,14.0,Ioan GHERGHEL  ROU,1.56.57,200m-butterfly-men,2008
1245,15.0,Sergii ADVENA  UKR,1.56.64,200m-butterfly-men,2008
1246,16.0,Chi-Chieh HSU  TPE,1.57.48,200m-butterfly-men,2008
1247,1.,Michael PHELPS  USA,1.53.70,200m-butterfly-men,2008
1248,2.,Laszlo CSEH  HUN,1.54.48,200m-butterfly-men,2008
1249,3.,Kaio ALMEIDA  BRA,1.54.65,200m-butterfly-men,2008
1250,4.,Takeshi MATSUDA  JPN,1.55.06,200m-butterfly-men,2008
1251,5.,Pawel KORZENIOWSKI  POL,1.55.21,200m-butterfly-men,2008
1252,6.,Nikolay SKVORTSOV  RUS,1.55.33,200m-butterfly-men,2008
1253,7.,Peng WU  CHN,1.55.39,200m-butterfly-men,2008
1254,8.,Gil STOVALL  USA,1.55.42,200m-butterfly-men,2008
1255,9.,Michael ROCK  GBR,1.55.55,200m-butterfly-men,2008
1256,10.,Moss BURMESTER  NZL,1.55.80,200m-butterfly-men,2008
1257,11.,Ryuichi SHIBATA  JPN,1.55.82,200m-butterfly-men,2008
1258,12.,Dinko JUKIC  AUT,1.55.96,200m-butterfly-men,2008
1259,13.,Ioan GHERGHEL  ROU,1.56.09,200m-butterfly-men,2008
1260,14.,Sergii ADVENA  UKR,1.56.24,200m-butterfly-men,2008
1261,15.,Yin CHEN  CHN,1.56.55,200m-butterfly-men,2008
1262,16.,Chi-Chieh HSU  TPE,1.56.59,200m-butterfly-men,2008
1263,17.,Christophe LEBON  FRA,1.56.63,200m-butterfly-men,2008
1264,18.,Travis NEDERPELT  AUS,1.56.64,200m-butterfly-men,2008
1265,19.,Mathieu FONTEYN  BEL,1.56.65,200m-butterfly-men,2008
1266,20.,Niccolo' BENI  ITA,1.56.99,200m-butterfly-men,2008
1269,21.,Denys SYLANT'YEV  UKR,1.57.02,200m-butterfly-men,2008
1270,22.,Tamas KEREKJARTO  HUN,1.57.29,200m-butterfly-men,2008
1271,23.,Juan Jose VELOZ  MEX,1.57.32,200m-butterfly-men,2008
1272,24.,Pedro OLIVEIRA  POR,1.57.41,200m-butterfly-men,2008
1273,25.,Adam SIOUI  CAN,1.57.45,200m-butterfly-men,2008
1274,26.,Simon SJODIN  SWE,1.57.75,200m-butterfly-men,2008
1275,27.,Romanos Iason ALYFANTIS  GRE,1.57.99,200m-butterfly-men,2008
1276,28.,Alon MANDEL  ISR,1.59.27,200m-butterfly-men,2008
1277,29.,James WALSH  PHI,1.59.39,200m-butterfly-men,2008
1278,30.,Omar PINZON GARCIA  COL,1.59.47,200m-butterfly-men,2008
1279,31.,Niksa ROKI  CRO,1.59.58,200m-butterfly-men,2008
1280,32.,Javier NUNEZ  ESP,2.00.24,200m-butterfly-men,2008
1281,33.,Andres GONZALEZ  ARG,2.00.36,200m-butterfly-men,2008
1282,34.,Jeongnam YU  KOR,2.01.00,200m-butterfly-men,2008
1283,35.,Jeremy KNOWLES  BAH,2.01.08,200m-butterfly-men,2008
1284,36.,Alexis MARQUEZ RIVAS  VEN,2.01.25,200m-butterfly-men,2008
1285,37.,Daniel BEGO  MAS,2.01.28,200m-butterfly-men,2008
1286,38.,Douglas LENNOX-SILVA  PUR,2.01.69,200m-butterfly-men,2008
1287,39.,Georgi PALAZOV  BUL,2.01.84,200m-butterfly-men,2008
1288,40.,Rehan Jehangir PONCHA  IND,2.01.89,200m-butterfly-men,2008
1289,41.,Emmanuel CRESCIMBENI  PER,2.02.13,200m-butterfly-men,2008
1290,42.,Javier HERNANDEZ MARADIAGA  HON,2.02.23,200m-butterfly-men,2008
1291,43.,Vladan MARKOVIC  SRB,2.03.12,200m-butterfly-men,2008
1292,44.,Donny UTOMO  INA,2.03.44,200m-butterfly-men,2008
1293,21.0,Denys SYLANT'YEV  UKR,1.57.02,200m-butterfly-men,2008
1294,22.0,Tamas KEREKJARTO  HUN,1.57.29,200m-butterfly-men,2008
1295,23.0,Juan Jose VELOZ  MEX,1.57.32,200m-butterfly-men,2008
1296,24.0,Pedro OLIVEIRA  POR,1.57.41,200m-butterfly-men,2008
1297,25.0,Adam SIOUI  CAN,1.57.45,200m-butterfly-men,2008
1298,26.0,Simon SJODIN  SWE,1.57.75,200m-butterfly-men,2008
1299,27.0,Romanos Iason ALYFANTIS  GRE,1.57.99,200m-butterfly-men,2008
1300,28.0,Alon MANDEL  ISR,1.59.27,200m-butterfly-men,2008
1301,29.0,James WALSH  PHI,1.59.39,200m-butterfly-men,2008
1302,30.0,Omar PINZON GARCIA  COL,1.59.47,200m-butterfly-men,2008
1303,31.0,Niksa ROKI  CRO,1.59.58,200m-butterfly-men,2008
1304,32.0,Javier NUNEZ  ESP,2.00.24,200m-butterfly-men,2008
1305,33.0,Andres GONZALEZ  ARG,2.00.36,200m-butterfly-men,2008
1306,34.0,Jeongnam YU  KOR,2.01.00,200m-butterfly-men,2008
1307,35.0,Jeremy KNOWLES  BAH,2.01.08,200m-butterfly-men,2008
1308,36.0,Alexis MARQUEZ RIVAS  VEN,2.01.25,200m-butterfly-men,2008
1309,37.0,Daniel BEGO  MAS,2.01.28,200m-butterfly-men,2008
1310,38.0,Douglas LENNOX-SILVA  PUR,2.01.69,200m-butterfly-men,2008
1311,39.0,Georgi PALAZOV  BUL,2.01.84,200m-butterfly-men,2008
1312,40.0,Rehan Jehangir PONCHA  IND,2.01.89,200m-butterfly-men,2008
1313,41.0,Emmanuel CRESCIMBENI  PER,2.02.13,200m-butterfly-men,2008
1314,42.0,Javier HERNANDEZ MARADIAGA  HON,2.02.23,200m-butterfly-men,2008
1315,43.0,Vladan MARKOVIC  SRB,2.03.12,200m-butterfly-men,2008
1316,44.0,Donny UTOMO  INA,2.03.44,200m-butterfly-men,2008
1317,G,United States of America,3.29.34,4x100m-medley-relay-men,2008
1318,S,Australia,3.30.04,4x100m-medley-relay-men,2008
1319,B,Japan,3.31.18,4x100m-medley-relay-men,2008
1320,4.,Russian Federation,3.31.92,4x100m-medley-relay-men,2008
1321,5.,New Zealand,3.33.39,4x100m-medley-relay-men,2008
1322,6.,Great Britain,3.33.69,4x100m-medley-relay-men,2008
1323,7.,South Africa,3.33.70,4x100m-medley-relay-men,2008
1324,1.0,United States of America,3.32.75,4x100m-medley-relay-men,2008
1325,2.0,Australia,3.32.76,4x100m-medley-relay-men,2008
1326,3.0,Japan,3.32.81,4x100m-medley-relay-men,2008
1327,4.0,Russian Federation,3.33.59,4x100m-medley-relay-men,2008
1328,5.0,Great Britain,3.33.83,4x100m-medley-relay-men,2008
1329,6.0,New Zealand,3.34.09,4x100m-medley-relay-men,2008
1330,7.0,South Africa,3.34.16,4x100m-medley-relay-men,2008
1331,8.0,Italy,3.34.32,4x100m-medley-relay-men,2008
1332,9.0,France,3.34.78,4x100m-medley-relay-men,2008
1333,10.0,Canada,3.35.56,4x100m-medley-relay-men,2008
1334,11.0,Sweden,3.35.83,4x100m-medley-relay-men,2008
1335,12.0,Croatia,3.37.69,4x100m-medley-relay-men,2008
1336,13.0,Romania,3.38.00,4x100m-medley-relay-men,2008
1337,14.0,Brazil,3.38.66,4x100m-medley-relay-men,2008
1338,15.0,Ukraine,3.38.76,4x100m-medley-relay-men,2008
1339,16.0,Belarus,3.39.39,4x100m-medley-relay-men,2008
1340,G,Alain BERNARD  FRA,47.21,100m-freestyle-men,2008
1341,S,Eamon SULLIVAN  AUS,47.32,100m-freestyle-men,2008
1342,B,Cesar CIELO FILHO  BRA,47.67,100m-freestyle-men,2008
1343,B,Jason LEZAK  USA,47.67,100m-freestyle-men,2008
1344,5.,Pieter VAN DEN HOOGENBAND  NED,47.75,100m-freestyle-men,2008
1345,6.,Lyndon FERNS  RSA,48.04,100m-freestyle-men,2008
1346,7.,Matt TARGETT  AUS,48.2,100m-freestyle-men,2008
1347,8.,Stefan NYSTRAND  SWE,48.33,100m-freestyle-men,2008
1348,1.0,Eamon SULLIVAN  AUS,47.05,100m-freestyle-men,2008
1349,2.0,Alain BERNARD  FRA,47.2,100m-freestyle-men,2008
1350,3.0,Pieter VAN DEN HOOGENBAND  NED,47.68,100m-freestyle-men,2008
1351,4.0,Matt TARGETT  AUS,47.88,100m-freestyle-men,2008
1352,5.0,Stefan NYSTRAND  SWE,47.91,100m-freestyle-men,2008
1353,6.0,Jason LEZAK  USA,47.98,100m-freestyle-men,2008
1354,7.0,Lyndon FERNS  RSA,48.0,100m-freestyle-men,2008
1355,8.0,Cesar CIELO FILHO  BRA,48.07,100m-freestyle-men,2008
1356,9.0,Filippo MAGNINI  ITA,48.11,100m-freestyle-men,2008
1357,10.0,Garrett WEBER-GALE  USA,48.12,100m-freestyle-men,2008
1358,11.0,Brent HAYDEN  CAN,48.2,100m-freestyle-men,2008
1359,12.0,Christian GALENDA  ITA,48.47,100m-freestyle-men,2008
1360,13.0,Jonas PERSSON  SWE,48.59,100m-freestyle-men,2008
1361,14.0,Andrey GRECHIN  RUS,48.71,100m-freestyle-men,2008
1362,15.0,Fabien GILOT  FRA,49.0,100m-freestyle-men,2008
1363,16.0,Dominik MEICHTRY  SUI,49.58,100m-freestyle-men,2008
1364,1.,Eamon SULLIVAN  AUS,47.80,100m-freestyle-men,2008
1365,2.,Stefan NYSTRAND  SWE,47.83,100m-freestyle-men,2008
1366,3.,Brent HAYDEN  CAN,47.84,100m-freestyle-men,2008
1367,4.,Alain BERNARD  FRA,47.85,100m-freestyle-men,2008
1368,5.,Pieter VAN DEN HOOGENBAND  NED,47.97,100m-freestyle-men,2008
1369,6.,Milorad CAVIC  SRB,48.15,100m-freestyle-men,2008
1370,7.,Cesar CIELO FILHO  BRA,48.16,100m-freestyle-men,2008
1371,8.,Garrett WEBER-GALE  USA,48.19,100m-freestyle-men,2008
1372,9.,Lyndon FERNS  RSA,48.26,100m-freestyle-men,2008
1373,10.,Filippo MAGNINI  ITA,48.30,100m-freestyle-men,2008
1374,11.,Jason LEZAK  USA,48.33,100m-freestyle-men,2008
1375,12.,Matt TARGETT  AUS,48.40,100m-freestyle-men,2008
1376,13.,Fabien GILOT  FRA,48.42,100m-freestyle-men,2008
1377,14.,Andrey GRECHIN  RUS,48.50,100m-freestyle-men,2008
1378,15.,Jonas PERSSON  SWE,48.51,100m-freestyle-men,2008
1379,16.,Christian GALENDA  ITA,48.55,100m-freestyle-men,2008
1380,16.,Dominik MEICHTRY  SUI,48.55,100m-freestyle-men,2008
1381,18.,Evgeny LAGUNOV  RUS,48.59,100m-freestyle-men,2008
1382,19.,Yoris GRANDJEAN  BEL,48.82,100m-freestyle-men,2008
1383,20.,George Richard BOVELL  TTO,48.83,100m-freestyle-men,2008
1386,21.,Martin VERNER  CZE,48.95,100m-freestyle-men,2008
1387,22.,Albert SUBIRATS ALTES  VEN,48.97,100m-freestyle-men,2008
1388,23.,Joel GREENSHIELDS  CAN,49.04,100m-freestyle-men,2008
1389,24.,Jason DUNFORD  KEN,49.06,100m-freestyle-men,2008
1390,25.,Zuo CHEN  CHN,49.08,100m-freestyle-men,2008
1391,26.,Nimrod SHAPIRA BAR-OR  ISR,49.10,100m-freestyle-men,2008
1392,27.,Jakob Schioett ANDKJAER  DEN,49.25,100m-freestyle-men,2008
1393,28.,Paulius VIKTORAVICIUS  LTU,49.27,100m-freestyle-men,2008
1394,28.,Balazs MAKANY  HUN,49.27,100m-freestyle-men,2008
1395,30.,Ryk NEETHLING  RSA,49.28,100m-freestyle-men,2008
1396,31.,Peter MANKOC  SLO,49.33,100m-freestyle-men,2008
1397,32.,Nabil KEBBAB  ALG,49.38,100m-freestyle-men,2008
1398,33.,Steffen DEIBLER  GER,49.39,100m-freestyle-men,2008
1399,34.,Duje DRAGANJA  CRO,49.49,100m-freestyle-men,2008
1400,35.,Jose Martin MEOLANS  ARG,49.50,100m-freestyle-men,2008
1401,36.,Yuriy YEGOSHIN  UKR,49.56,100m-freestyle-men,2008
1402,36.,Shaune FRASER  CAY,49.56,100m-freestyle-men,2008
1403,38.,Mitja ZASTROW  NED,49.61,100m-freestyle-men,2008
1404,39.,Ryan PINI  PNG,49.72,100m-freestyle-men,2008
1405,40.,Hisayoshi SATO  JPN,49.85,100m-freestyle-men,2008
1406,41.,Matti RAJAKYLA  FIN,49.91,100m-freestyle-men,2008
1407,42.,Virdhawal KHADE  IND,50.07,100m-freestyle-men,2008
1408,43.,Martin KUTSCHER BELGERI  URU,50.08,100m-freestyle-men,2008
1409,44.,Stanislau NEVIAROUSKI  BLR,50.14,100m-freestyle-men,2008
1410,45.,Tiago VENANCIO  POR,50.30,100m-freestyle-men,2008
1411,46.,Romans MILOSLAVSKIS  LAT,50.40,100m-freestyle-men,2008
1412,47.,Terrence HAYNES  BAR,50.50,100m-freestyle-men,2008
1413,48.,Aristeidis GRIGORIADIS  GRE,50.62,100m-freestyle-men,2008
1414,49.,Orn ARNARSON  ISL,50.68,100m-freestyle-men,2008
1415,50.,Norbert TRANDAFIR  ROU,50.74,100m-freestyle-men,2008
1416,51.,Danil HAUSTOV  EST,50.92,100m-freestyle-men,2008
1417,52.,Alexandr SKLYAR  KAZ,51.24,100m-freestyle-men,2008
1418,53.,Jan ROODZANT  ARU,51.69,100m-freestyle-men,2008
1419,54.,Namgyun LIM  KOR,51.80,100m-freestyle-men,2008
1420,55.,Petr ROMASHKIN  UZB,51.83,100m-freestyle-men,2008
1421,56.,Mikayel KOLOYAN  ARM,51.89,100m-freestyle-men,2008
1422,57.,Gael ADAM  MRI,52.35,100m-freestyle-men,2008
1423,58.,Carl PROBERT  FIJ,52.37,100m-freestyle-men,2008
1424,59.,Christopher DUENAS  GUM,52.64,100m-freestyle-men,2008
1425,60.,Roy-Allan BURCH  BER,52.65,100m-freestyle-men,2008
1426,61.,Obaid Ahmed Obaid AL JASSIMI  UAE,53.29,100m-freestyle-men,2008
1427,62.,Emile BAKALE  CGO,55.08,100m-freestyle-men,2008
1428,63.,Miguel Angel NAVARRO  BOL,56.96,100m-freestyle-men,2008
1429,64.,Sofyan EL GADI  LBA,57.89,100m-freestyle-men,2008
1430,21.0,Martin VERNER  CZE,48.95,100m-freestyle-men,2008
1431,22.0,Albert SUBIRATS ALTES  VEN,48.97,100m-freestyle-men,2008
1432,23.0,Joel GREENSHIELDS  CAN,49.04,100m-freestyle-men,2008
1433,24.0,Jason DUNFORD  KEN,49.06,100m-freestyle-men,2008
1434,25.0,Zuo CHEN  CHN,49.08,100m-freestyle-men,2008
1435,26.0,Nimrod SHAPIRA BAR-OR  ISR,49.1,100m-freestyle-men,2008
1436,27.0,Jakob Schioett ANDKJAER  DEN,49.25,100m-freestyle-men,2008
1437,28.0,Paulius VIKTORAVICIUS  LTU,49.27,100m-freestyle-men,2008
1438,28.0,Balazs MAKANY  HUN,49.27,100m-freestyle-men,2008
1439,30.0,Ryk NEETHLING  RSA,49.28,100m-freestyle-men,2008
1440,31.0,Peter MANKOC  SLO,49.33,100m-freestyle-men,2008
1441,32.0,Nabil KEBBAB  ALG,49.38,100m-freestyle-men,2008
1442,33.0,Steffen DEIBLER  GER,49.39,100m-freestyle-men,2008
1443,34.0,Duje DRAGANJA  CRO,49.49,100m-freestyle-men,2008
1444,35.0,Jose Martin MEOLANS  ARG,49.5,100m-freestyle-men,2008
1445,36.0,Yuriy YEGOSHIN  UKR,49.56,100m-freestyle-men,2008
1446,36.0,Shaune FRASER  CAY,49.56,100m-freestyle-men,2008
1447,38.0,Mitja ZASTROW  NED,49.61,100m-freestyle-men,2008
1448,39.0,Ryan PINI  PNG,49.72,100m-freestyle-men,2008
1449,40.0,Hisayoshi SATO  JPN,49.85,100m-freestyle-men,2008
1450,41.0,Matti RAJAKYLA  FIN,49.91,100m-freestyle-men,2008
1451,42.0,Virdhawal KHADE  IND,50.07,100m-freestyle-men,2008
1452,43.0,Martin KUTSCHER BELGERI  URU,50.08,100m-freestyle-men,2008
1453,44.0,Stanislau NEVIAROUSKI  BLR,50.14,100m-freestyle-men,2008
1454,45.0,Tiago VENANCIO  POR,50.3,100m-freestyle-men,2008
1455,46.0,Romans MILOSLAVSKIS  LAT,50.4,100m-freestyle-men,2008
1456,47.0,Terrence HAYNES  BAR,50.5,100m-freestyle-men,2008
1457,48.0,Aristeidis GRIGORIADIS  GRE,50.62,100m-freestyle-men,2008
1458,49.0,Orn ARNARSON  ISL,50.68,100m-freestyle-men,2008
1459,50.0,Norbert TRANDAFIR  ROU,50.74,100m-freestyle-men,2008
1460,51.0,Danil HAUSTOV  EST,50.92,100m-freestyle-men,2008
1461,52.0,Alexandr SKLYAR  KAZ,51.24,100m-freestyle-men,2008
1462,53.0,Jan ROODZANT  ARU,51.69,100m-freestyle-men,2008
1463,54.0,Namgyun LIM  KOR,51.8,100m-freestyle-men,2008
1464,55.0,Petr ROMASHKIN  UZB,51.83,100m-freestyle-men,2008
1465,56.0,Mikayel KOLOYAN  ARM,51.89,100m-freestyle-men,2008
1466,57.0,Gael ADAM  MRI,52.35,100m-freestyle-men,2008
1467,58.0,Carl PROBERT  FIJ,52.37,100m-freestyle-men,2008
1468,59.0,Christopher DUENAS  GUM,52.64,100m-freestyle-men,2008
1469,60.0,Roy-Allan BURCH  BER,52.65,100m-freestyle-men,2008
1470,61.0,Obaid Ahmed Obaid AL JASSIMI  UAE,53.29,100m-freestyle-men,2008
1471,62.0,Emile BAKALE  CGO,55.08,100m-freestyle-men,2008
1472,63.0,Miguel Angel NAVARRO  BOL,56.96,100m-freestyle-men,2008
1473,64.0,Sofyan EL GADI  LBA,57.89,100m-freestyle-men,2008
1474,G,United States of America,6.58.56,4x200m-freestyle-relay-men,2008
1475,S,Russian Federation,7.03.70,4x200m-freestyle-relay-men,2008
1476,B,Australia,7.04.98,4x200m-freestyle-relay-men,2008
1477,4.,Italy,7.05.35,4x200m-freestyle-relay-men,2008
1478,5.,Canada,7.05.77,4x200m-freestyle-relay-men,2008
1479,6.,Great Britain,7.05.92,4x200m-freestyle-relay-men,2008
1480,7.,Japan,7.10.31,4x200m-freestyle-relay-men,2008
1481,8.,South Africa,7.13.02,4x200m-freestyle-relay-men,2008
